,標題,版主,日期,時間,觀看數,留言
2683,【繪圖】泳裝安,angry9565,02/26,00:00,1847,5
2684,【問題】投資職業疑問,ericluffy,02/25,19:44,2078,27
2685,【情報】全台店家活動資訊同步ES大會 0219更新-森蘿御界 即將登場,Liujohnny,02/25,18:27,91k,254
2686,【問題】打開SV後彈出這個東西然後遊戲就關掉了,SamChung1999,02/25,17:00,1146,6
2687,【討論】崇敬的實現有什麼有趣的玩法,SuperGamer,02/25,09:24,2433,14
2688,【情報】 新北三重 ES美樂地公主包大賽,typemoon,02/24,21:58,1742,3
2689,【心得】銅牆鐵壁，最強後期——控制進化皇（ULC指定）2/26 GM1達成,nathan60107,02/24,19:35,5214,28
2690,【討論】《極鬥之巔》龍族職業相關討論串,paul851110,02/24,19:23,7101,6
2691,【閒聊】第一次上GM雜談(無限制),fuharyuu,02/23,23:44,1407,8
2692,【情報】SCL 極鬥之巔DLC騙水盃邀請賽，本周日火熱開騙,n898989,02/23,11:32,1916,4
2693,【問題】控制蟲妖真的有克制方法嗎？,iwantgoost,02/23,00:59,7540,97
2694,【心得】指定GM ULC中速進化皇 (2/27更新 版本穩定後評價),pelly1234,02/23,00:48,5623,100
2695,【心得】ES大會將暫停舉辦 北部2月最後的幾場搶卡包行程分析,sara941021,02/22,12:10,1350,3
2696,【問題】對面聖獅484吃掉我網路阿,SuperGamer,02/21,22:26,2090,13
2697,【實況】開台中 歡迎來交流,nathan60107,02/21,22:19,3691,41
2698,【心得】《極鬥之巔》追加卡之語音&翻譯,hayashitn,02/21,20:21,2093,3
2699,【討論】《極鬥之巔》精靈職業相關討論串,digimon10011,02/21,10:30,12k,20
2700,【情報】第15彈卡包擴充卡紀念活動（寶箱）2/21十點~3/2凌晨,ccuu1277,02/21,09:45,3121,11
2701,【問題】牌組討論-指定實現教（暫定,Mondaybluest,02/20,23:17,2238,13
2702,【繪圖】泳裝貪吃佩可,jeff60316377,02/20,21:26,1874,4
2703,【心得】什麼都玩的網咖ES大會 in E網打競,n898989,02/20,11:30,6661,8
2704,【情報】第15彈卡包《極鬥之巔》追加卡情報公開(全數公開),ethanlin1212,02/20,11:20,39k,76
2705,【討論】指定大賽晉級A組 牌組分享,Junior200392,02/20,05:30,11k,58
2706,【心得】台南的非洲人也想要的ES公主禮包,to555649,02/20,01:19,3601,2
2707,【討論】我大屁股。。。不，頂峰教終於成為新世界的毒瘤啦！,heihei9818,02/19,23:03,2569,11
2708,【情報】限購3組！極鬥之巔特別組合包特賣公告,l31940457,02/19,18:53,2443,10
2709,首篇已刪,r28588449,02/19,04:48,21,1
2710,【繪圖】終於抽到先攻的班比,jeff60316377,02/18,22:29,1615,3
2711,【問題】【問題】回鍋要抽什麼,r28588449,02/18,18:50,1192,24
2712,首篇已刪,r28588449,02/16,20:55,107,2
2713,首篇已刪,r28588449,02/16,12:37,2989,11
2714,【閒聊】《冰喵發病》嘗試使用各種職業做出亂箭星雨的效果（2/15更新）,fzw1222,02/15,16:52,2644,24
2715,【心得】指定21連勝控甲以及(即將)GM1心得分享,zomrence,02/15,16:22,2423,25
2716,【攻略】2020極速峰頂快教 喵魯單T超高爆發,paralleoex,02/15,07:29,3583,7
2717,【攻略】無限淫雪冥府死,Jim900904,02/14,23:37,2828,7
2718,【搬運】巧克力,jorial,02/14,20:09,1625,6
2719,【閒聊】絕傑鬥士面對面？,garry205,02/14,17:49,2527,10
2720,【情報】【2月20日 13:30 ～ 16:00（GMT+8）】配合版本更新實施伺服器維護公告,hayashitn,02/14,11:59,3667,6
2721,【桌布】自製桌布，7/2更新，你們以為我放棄這裡了嗎?並沒有!(至OOT,hccs0900105,02/13,20:23,30k,102
2722,【閒聊】矛與盾的對決,sd15027,02/13,20:22,3167,39
2723,【閒聊】從聲優來看追加卡的可能性 ver. UCL,g0979406098,02/13,20:06,5667,36
2724,首篇已刪,hayashitn,02/13,20:05,982,4
2725,【其他】SV猜燈謎解答與回覆,wpw88123,02/13,18:35,878,2
2726,【其他】元宵節快樂!  Shadowverse-猜燈謎囉(2/8~2/13),stu40412,02/13,13:15,1952,7
2727,【討論】自然龍 vs 護符耶菈教，問最善手,SuperGamer,02/13,12:01,1605,2
2728,【情報】SCL2月盃 2/16 火熱報名中,n898989,02/13,10:36,2076,2
2729,【乙己】法乙己,maksimwen,02/12,23:52,4535,22
2730,首篇已刪,r28588449,02/12,23:51,390,1
2731,【繪圖】泳裝佐伊,angry9565,02/11,22:42,1617,4
2732,【情報】韓板三周年送3卡包，切韓板領取（2/7〜2/21）,ufolove,02/11,18:52,6020,8
2733,【問題】現在轉韓版有沒有活動送三包,samya00,02/11,16:23,1841,2
2734,首篇已刪,sysop,02/10,17:08,1028,5
2735,【攻略】「拳打陰陽法，腳踢百鬼死」榮耀再臨（？）指定GM耶菈教攻略,Hank556644,02/09,05:05,3676,25
2736,【問題】新手不知道牌組打法,NaChi4764318,02/09,03:19,1948,11
2737,【情報】1006戦732勝 指定勝率72.76%皇家牌組,deh8ha,02/08,16:54,2839,6
2738,【心得】2月東門es-極鬥之巔好夥伴!!,ff96710,02/08,09:45,2582,4
2739,【情報】舉辦大賽「UCL 指定系列盃」公告 2/9～2/20,l31940457,02/07,20:35,2846,13
2740,【問題】steam帳號綁定，已解決,QLOKOHO,02/07,12:19,1611,3
2741,【問題】求解答,r28588449,02/07,00:33,1851,11
2742,【心得】絕境求生、出「旗」制勝——快攻旗皇（UCL無限制）,k0862,02/06,21:19,2565,11
2743,【情報】舉辦大賽「UCL 無限制盃」公告 1/28~2/8,a199609,02/06,21:00,2811,23
2744,【閒聊】比起噁心的九苑 其實問題最大的是紙人跟暴鬼吧?,hayashitn,02/06,19:28,5810,75
2745,本討論串已無文章,m12041211,02/06,00:45,76,0
2746,【問題】二月一號jcg冠軍,deh8ha,02/05,13:15,1851,5
2747,【問題】求大神給點無限皇牌組建議,ethanlin1212,02/04,12:57,135,0
2748,【繪圖】泳裝亞里莎,angry9565,02/04,10:40,2616,13
2749,【問題】無限制皇家,SD29626148,02/04,06:20,1941,17
2750,【密技】{無限制}無敵勝利皇2.0來了!!~2/6更新,andy75325,02/03,23:46,22k,88
2751,【討論】無限制 無敵皇,acehole1109,02/03,20:12,6069,9
2752,【問題】剛回鍋看不懂,SuperGamer,02/03,18:44,2835,25
2753,【問題】求解,HiArthur,02/03,11:45,65,0
2754,【問題】回鍋玩家求解,HiArthur,02/03,11:10,115,0
2755,【心得】3天從0打到AA 指定快吸16連勝,kscig0830,02/03,08:48,2890,9
2756,【閒聊】陋室銘,piano890424,02/02,21:55,12k,41
2757,【心得】【娛樂】無限制的雙子死靈,lotusasuna,02/02,20:58,1889,2
2758,【討論】要怎麼用平常心打大賽,amulet0212,02/02,19:22,2583,30
2759,【問題】Master point 問題,deh8ha,02/02,14:28,3909,7
2760,【問題】【求牌組】有沒大佬有報復老頭妖的牌組,SmallWheattw,01/31,21:35,2085,17
2761,【問題】回鍋新手,brian9b3b,01/31,14:26,326,3
2762,【閒聊】無限制的庫魯特就像隻麻雀,amulet0212,01/30,22:02,5768,20
2763,【討論】這版本無限制是不是有史以來最無聊的版本？,amulet0212,01/30,21:47,9059,84
2764,【問題】關於剛毅卓絕的武士能力的問題,goj908033,01/30,17:03,3040,11
2765,【問題】無限制的超越九苑法怎麼留牌?,SuperGamer,01/30,16:30,3807,8
2766,【心得】貪吃佩可巡禮   闇影詩章ES大會 in紳姐廚房,ff96710,01/30,10:00,3618,1
2767,【情報】第7彈主題牌組情報公開,SuperGamer,01/30,08:53,8651,22
2768,【繪圖】泳裝露娜,lattelove456,01/29,16:26,4127,8
2769,【問題】求救！無法登入,P0912162138,01/29,14:02,1145,6
2770,【閒聊】冥府死5T啟動刷爆久苑巫,tony1022438,01/28,13:51,3515,13
2771,【閒聊】過年,willywebi,01/27,22:58,3384,9
2772,【心得】天梯環保種樹工，自然巫爬分&大賽心得。,s99216,01/27,18:46,4627,53
2773,【問題】如何增強競技場選牌技巧和打牌技巧,jay7788,01/27,17:07,2462,23
2774,「自由，是乃無底深淵」 - 變速(!?)密林妖GM分享(29/1 更新完成，追加單咭評註、後記),dces6107,01/27,11:58,3349,23
2775,【其他】Shadowverse-寒假一起來毀三觀小考-解答與回覆,wpw88123,01/27,10:26,965,6
2776,【情報】1月27日伺服器維護時卡片調整公告,stupidleo,01/27,04:53,7297,24
2777,【心得】指定GM達成 穩定勝率，節奏壓制 【ULC雷維翁皇】,starC8763,01/26,14:25,4590,15
2778,【問題】今天1/25(六)晚上登入有送傳說包，極鬥2包，300金跟紅水3500，但是為啥送？,hayashitn,01/25,19:10,3591,8
2779,【情報】TV動畫「成群結伴！西頓學園」播出紀念活動公告,ccuu1277,01/25,18:08,2483,8
2780,【情報】舉辦大賽「Princess Cup Vol.2」公告,kmcheung39,01/25,14:55,3749,22
2781,本討論串已無文章,Lilyian1428,01/25,11:43,6,0
2782,【閒聊】一些希望能復刻的token,qwert7410100,01/25,11:01,2837,8
2783,Shadowverse-寒假一起來毀三觀小考(你夠強應該就不會毀三觀)(1/22~1/27),zxcer01336,01/25,02:26,5402,84
2784,首篇已刪,hayashitn,01/25,00:50,222,2
2785,【情報】麵包杯#6,sf329sf329,01/24,22:27,794,0
2786,首篇已刪,hayashitn,01/24,17:23,331,1
2787,【情報】SCL新春盃!! 12/ 26 初二加碼場 火熱報名中,n898989,01/24,15:25,3031,2
2788,【問題】更新 ES大會的卡牌重複疑問,smithy7439,01/24,12:02,4780,16
2789,【心得】12連勝指定快吸，讓對手體驗絕望,xs2523374,01/23,21:13,3905,3
2790,【心得】指定GM達成～雷維翁佩可皇（2/11二樓更新もろりん的講解影片連結）,k0862,01/23,14:08,7391,32
2791,【心得】你打一百分 哥拿一百萬,z11235813213,01/23,01:39,22k,109
2792,【問題】請問哪裡有STO的相關資訊,asssasssas,01/22,13:14,877,9
2793,【情報】F:NEX 闇影詩章 露娜1/7模型,seino999,01/22,09:15,5379,30
2794,【心得】關於現在的2p,dean112029,01/22,03:52,1715,14
2795,本討論串已無文章,zx0919939167,01/21,23:14,46,0
2796,【閒聊】先攻verse  我想哭哭,Roy030,01/21,22:35,2770,29
2797,【情報】【1月27日 13:30 ～ 16:00（GMT+8）】配合版本更新實施伺服器維護公告,hayashitn,01/21,14:16,3925,13
2798,本討論串已無文章,a24584123,01/20,16:18,1484,26
2799,【心得】連勝不高沒關係，勝率高就好，密林妖穩定上GM心得(圖多慎入，6F GM1小更新),cs2rgogogo,01/19,20:14,11k,32
2800,【心得】前朝王者 指定機械吸,sdfcsvawrw,01/18,23:55,3219,15
2801,【問題】大賽階級 ??,ga002034,01/18,18:12,2742,27
2802,【心得】公主連結ES大會!!,iemmaimee,01/17,23:07,2393,3
2803,【問題】請問無限制有什麼好玩的復仇者,aa5566,01/17,20:43,1841,10
2804,【情報】1月14日伺服器維護時「2Pick」出現卡片之調整公告,godgiotto,01/17,12:28,4114,8
2805,【心得】霸食帝‧凱加的無限制美食之旅  暗影詩章ES大會 in卡瑪專業手工咖啡,ff96710,01/17,09:02,4287,6
2806,【心得】理想型娛樂牌之無限佐伊守護我:),wecanDOU,01/16,12:38,2072,11
2807,首篇已刪,sysop,01/16,11:36,1415,42
2808,【心得】一起討論用甚麼牌組過霸瞳皇帝,zed0425,01/15,12:45,36k,166
2809,【問題】【回坑新手】想問有沒能即時討論的群組？,SmallWheattw,01/15,03:06,1165,20
2810,【繪圖】吟雪,angry9565,01/15,00:36,5116,9
2811,【問題】請問暫用卡交換上限?,ben246810,01/14,00:57,2277,4
2812,【問題】手機的SV有60幀的嗎,uj52024,01/13,16:53,1873,6
2813,【動圖】大蘿蔔主戰者,pomani,01/13,00:04,2855,3
2814,【心得】奶到對面失智 指定自然控妖,bel666,01/12,17:54,15k,75
2815,【閒聊】徵求其他極端過霸瞳爆牌亡影片,a123a123a123,01/12,17:08,2204,7
2816,【問題】現在回坑要組那種卡組呢？有大佬能教教小妹嗎？,hajimehika,01/12,16:55,1900,7
2817,【攻略】GM中速皇牌組分享—全牌組應對,anthony01,01/12,12:03,3882,41
2818,【心得】30戰20勝上gm，百鬼死環境適應型卡組,ThiefOrg,01/12,07:39,6153,21
2819,【問題】為什麼2P沒有常駐免費 ??,uj52024,01/11,16:38,2513,12
2820,本討論串已無文章,karta1205645,01/11,14:55,1214,1
2821,【問題】要怎麼換角色？,UFO3366,01/11,12:09,1872,3
2822,【問題】請問小梅是不是壞掉了？,r28588449,01/11,10:56,3346,26
2823,本討論串已無文章,jordan1225,01/10,23:46,16,0
2824,【閒聊】中皇gm分享,davidzhen,01/10,23:43,4169,28
2825,本討論串已無文章,jordan1225,01/10,23:29,6,0
2826,本討論串已無文章,jordan1225,01/10,23:26,0,0
2827,【情報】Quest活動,a3808508,01/10,21:35,21k,81
2828,本討論串已無文章,kjlove0215,01/10,20:15,52,1
2829,【問題】「指定」2020年甲蟲的可能性-勝率8成,uj52024,01/10,17:14,4169,44
2830,【問題】式神巫的瑪納歷亞偉大研究張數,a21079555,01/10,17:11,4529,19
2831,【閒聊】第一次把蘿拉用到16攻,v6917786,01/10,17:07,2100,14
2832,【攻略】森之妖精加入了群組 - 無限制捆綁妖,michael3493,01/10,16:42,3259,21
2833,【問題】這牌要怎麼解掉？,UFO3366,01/10,15:55,2378,10
2834,【問題】【問題】不能買水晶？,X32600201,01/10,13:22,923,3
2835,煩到他投降：指定娛樂召還死,hayashitn,01/10,09:34,6207,16
2836,【攻略】霸瞳皇帝QUEST任務賽解任務（天界異種）,r28588449,01/10,08:04,1858,1
2837,本討論串已無文章,saber611522,01/09,23:35,1477,25
2838,【閒聊】來看看Quest霸瞳皇帝的牌組……,zxcer01336,01/09,23:34,3366,22
2839,【閒聊】關於新手組牌的一些想法,duckduck0203,01/09,23:13,1741,8
2840,本討論串已無文章,saber611522,01/09,20:17,39,1
2841,【攻略】指定萬物仇，天選之人就是你 !,leo9955951,01/09,16:48,4060,2
2842,【討論】霸瞳任務一次解完？,r28588449,01/09,11:31,728,3
2843,本討論串已無文章,SuperGamer,01/09,10:10,63,0
2844,【問題】發現巫師卡組用龍族卡分享問題,r28588449,01/09,10:04,1418,7
2845,【問題】請問一套牌的壽命大概多久?,cnsmin,01/08,17:45,4671,56
2846,【心得】活動第一天 霸瞳3成就全解,r28588449,01/08,17:15,5283,6
2847,【情報】闇影詩章x公主連結R同樂會★即將舉辦！,SuperGamer,01/08,16:23,3010,9
2848,【問題】公連單人bug?,q2541306,01/08,07:00,2202,4
2849,【問題】皇家對抗凱留的牌組?,vm6jo6yk6,01/08,01:20,3699,20
2850,【問題】佩可怎麼打？,asd0809987,01/07,22:23,3375,39
2851,首篇已刪,Liujohnny,01/07,18:17,1798,12
2852,【攻略】Quest任務攻略--霸瞳皇帝 不使用EP,erian25,01/07,14:59,5409,15
2853,本討論串已無文章,hank0310,01/07,14:30,8,0
2854,【閒聊】最近牌位玩家素質真的越來越差了.....,willie990316,01/07,03:35,5682,30
2855,【心得】『指定GM』 控妖剋星 接頭自然巫,ufolove,01/07,02:05,4536,23
2856,首篇已刪,Liujohnny,01/07,00:26,222,8
2857,本討論串已無文章,Liujohnny,01/06,20:48,15,0
2858,【問題】回坑想快速融入環境要看哪幾篇心得,lf2ngkachun,01/06,19:04,2858,68
2859,【問題】無法買水晶,q037756259,01/06,06:25,1355,13
2860,【心得】老實講  這次改版是否算是暴力平衡成功的一次?,A410003,01/05,23:14,11k,80
2861,【心得】這版復仇者其實不錯?,azxazx3,01/05,22:57,3630,19
2862,【問題】遊戲閃退,tonsin2976,01/05,22:48,601,1
2863,本討論串已無文章,simon98611,01/05,19:17,34,1
2864,【心得】總算不用再算數學了(´Д⊂ヽ空過仇心得,corlasu,01/05,14:51,2352,11
2865,【問題】剛毅武士+守護=打不痛的神奇卡,GOdeilla,01/05,01:39,7586,97
2866,首篇已刪,A29653901,01/04,16:48,2805,21
2867,【問題】關於每日任務獎勵bug,F31912205,01/04,14:05,829,5
2868,【情報】麵包杯#5,sf329sf329,01/04,01:42,894,2
2869,【問題】第六彈主題牌組哪幾套可以買呢?,sinoceanl0l,01/03,20:58,1298,4
2870,【心得】【指定】妖精之劍，千錘百鍊 ∣ GM老頭妖,benny1004,01/03,10:06,4954,8
2871,"【心得】斯巴達長城主教上線啦~~~討厭陰陽法的朋友們可以試試(M區14埸12勝,對戰5埸陰陽法全勝)",th25694125,01/03,08:39,3528,14
2872,【閒聊】身為一個大魔女 生活邋遢一點也是沒關係的吧!,love0zxc,01/03,00:10,2687,5
2873,本討論串已無文章,min951008,01/02,21:59,31,0
2874,本討論串已無文章,alexkuh,01/02,19:25,35,1
2875,【心得】掌管阿卡死時代的辣個男人 他回來了,duckduck0203,01/02,18:19,3627,19
2876,【心得】空過仇使用心得,Jim900904,01/02,17:47,5450,24
2877,【心得】把你也變成布丁喔！156勝無限制中速死gm達成,death66666,01/02,00:24,6571,17
2878,【問題】關於攻略網站,bennychen474,01/02,00:21,3686,11
2879,【討論】陰陽法感覺做壞了,tmpss90276,01/01,23:20,27k,106
2880,【問題】關於死靈的勝率(*ˉ︶ˉ*),uj52024,01/01,21:30,2696,16
2881,【心得】快要睡著的對局,SuperGamer,01/01,20:20,2010,12
2882,【心得】【心得】百鬼死靈GM達成心得,p3119397,01/01,19:39,4315,3
2883,【心得】[指定系列]勇往直前!成長茁壯!密林妖之心得,ufolove,01/01,19:29,2787,21
2884,【情報】新年特別活動公告,s952303,01/01,11:26,4120,17
2885,【問題】剛回鍋，需要注意什麼?,tim60785,01/01,11:01,1065,16
2886,【問題】復仇者無限制 A2 A3 十連勝,h095413k,01/01,09:42,1195,1
2887,【心得】奶到對面失智 指定自殘控吸,kagerou0127,12/31,19:07,2509,17
2888,【問題】無限制組牌,cy910521,12/31,19:00,584,10
2889,【問題】該買什麼,a29547654,12/31,12:27,1348,23
2890,【問題】cy是不是每次都做2套壞掉的牌r,webber534534,12/31,11:28,2851,243
2891,【心得】新環境開了  讓我們來討論這次的這次的環境吧 12/30更新些許,Sakagami,12/31,09:55,6355,72
2892,【心得】百鬼死GM達成~,Jim900904,12/31,08:10,5630,51
2893,【問題】請問買卡包 主戰者詢問,kitty0403,12/31,01:15,1480,11
2894,【問題】新手回鍋，龍族抽卡一問,inlk12071218,12/30,20:05,1797,7
2895,【心得】關於一些守護主教,you6330692,12/30,17:11,2834,41
2896,【問題】死靈 九尾死討論,qazx0428,12/30,15:34,10k,18
2897,【心得】現今的無限制,ckbb,12/30,11:38,3226,39
2898,【閒聊】[月戀實況]Ultimate Colosseum (ULC) /極鬥之巔 22:30 開抽~ 另外恭喜SA哥冠軍!! (好險沒毒奶XD)[OFF],aa8961ss,12/29,22:32,2045,4
2899,【閒聊】<無限制自殘快吸>大家最喜歡的佛導來囉,amulet0212,12/29,20:26,2490,6
2900,本討論串已無文章,csps20702,12/29,19:52,136,0
2901,【問題】主教  主戰者,r28588449,12/29,17:13,617,3
2902,【討論】［夢想］嘉夜才是真正的達貢，一回打4次的超級OTK,fzw1222,12/29,16:47,3305,7
